candidate_method,reference_method,k,strategy,metric,difference_definition,n_paired_patients,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
hb_tpm_latent_mse,oa_hb_tpm_map,2,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0028965899633792485,-0.0019195199757453363,0.007375600840512742,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.18370702602604702,-0.43786131986888016,0.058091801395697786,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.008434081255721291,-0.025502193425366797,0.009985786889163243,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,clustered,hidden_brier,candidate_minus_reference,98,-9.116479100621811e-05,-0.0009202337298276214,0.0008101471679817319,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,random,mean_hidden_dice,candidate_minus_reference,98,0.0031320711371310016,-0.001579876909640043,0.00788789767092328,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.1929067995265829,-0.43828185982871254,0.044572561807069006,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.008104936762449423,-0.02376344257780497,0.009824960943911245,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,random,hidden_brier,candidate_minus_reference,98,-0.00012829357530084998,-0.0009032980695708939,0.0006953357784932869,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,uniform,mean_hidden_dice,candidate_minus_reference,98,0.004579944135813447,-0.0007062341290173904,0.009896206278268383,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.26788801461133926,-0.5695616487503504,0.007698428364795886,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.008054429755894096,-0.02380712716869904,0.009435565666683944,patient
hb_tpm_latent_mse,oa_hb_tpm_map,2,uniform,hidden_brier,candidate_minus_reference,98,-0.0004513414899761645,-0.0013342384172945617,0.00047075467074897523,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0022753225406508125,-0.004088649780100045,0.008486943737897776,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.36562995225570566,-0.7066108912372646,-0.0032858715841709704,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.03197244537435086,-0.055314728320043756,-0.008916009352356112,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,clustered,hidden_brier,candidate_minus_reference,98,-0.0003065592381266926,-0.0013083524509732213,0.0007864177168575004,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,random,mean_hidden_dice,candidate_minus_reference,98,0.0024264904047187523,-0.003072168886941918,0.0077449834498799,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.35734746634646103,-0.6607613559476935,-0.05575269675688258,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.02749011693206227,-0.04714581511627762,-0.007535328355752616,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,random,hidden_brier,candidate_minus_reference,98,-0.00038928447139202486,-0.0012290490744160303,0.0004965254481482698,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,uniform,mean_hidden_dice,candidate_minus_reference,98,0.0023975417544412456,-0.003924993479359589,0.008317098877063023,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.35758057806620586,-0.6840771243695526,-0.02623261352063546,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.029491123875303078,-0.05077562831908852,-0.008237418130540233,patient
hb_tpm_latent_mse,oa_hb_tpm_map,3,uniform,hidden_brier,candidate_minus_reference,98,-0.00042450849004850973,-0.0013726325917095843,0.0006297704397833737,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,clustered,mean_hidden_dice,candidate_minus_reference,98,0.004889784453466751,-0.00016577419454343384,0.010018370282965016,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.4295237215825308,-0.7269182855724997,-0.129199985940852,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.03391104632876215,-0.053955911451057964,-0.014506457687905075,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,clustered,hidden_brier,candidate_minus_reference,98,-0.0006774600937354302,-0.0014934468768746094,0.00019477293736358382,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,random,mean_hidden_dice,candidate_minus_reference,98,0.004448496738338521,-0.0012140929211712454,0.009840997601100696,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.44574466765775744,-0.7656658541441721,-0.12747865632636438,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.03486711041244805,-0.05659866139867198,-0.013806292474143283,patient
