                   method_id  k  strategy  n_patients  n_patient_observations  mean_hidden_dice  mean_hidden_hd95_px  mean_area_curve_relative_rmse  mean_hidden_brier  trust_gate_rejection_rate
           hb_tpm_latent_mse  2 clustered          98                     490          0.751276             9.651860                       0.595134           0.037586                   0.589796
   oa_hb_tpm_isotropic_prior  2 clustered          98                     490          0.748903             9.825131                       0.600847           0.037622                   0.983673
               oa_hb_tpm_map  2 clustered          98                     490          0.748379             9.835567                       0.603568           0.037678                   1.000000
oa_hb_tpm_no_phase_alignment  2 clustered          98                     490          0.748938             9.824480                       0.600732           0.037616                   0.983673
                 source_mean  2 clustered          98                     490          0.749202             9.775952                       0.591006           0.037064                   0.632653
                 target_only  2 clustered          98                     490          0.747248             9.863291                       0.604679           0.037736                   0.618367
           hb_tpm_latent_mse  2    random          98                     490          0.751232             9.602759                       0.590337           0.037420                   0.569388
   oa_hb_tpm_isotropic_prior  2    random          98                     490          0.748681             9.781853                       0.595263           0.037471                   0.861224
               oa_hb_tpm_map  2    random          98                     490          0.748100             9.795666                       0.598442           0.037548                   0.881633
oa_hb_tpm_no_phase_alignment  2    random          98                     490          0.748700             9.783682                       0.595429           0.037475                   0.853061
                 source_mean  2    random          98                     490          0.748701             9.765672                       0.591006           0.037026                   0.518367
                 target_only  2    random          98                     490          0.746834             9.851633                       0.604605           0.037716                   0.620408
           hb_tpm_latent_mse  2   uniform          98                      98          0.751687             9.455240                       0.573060           0.036582                   0.071429
   oa_hb_tpm_isotropic_prior  2   uniform          98                      98          0.747555             9.713369                       0.579172           0.036972                   0.051020
               oa_hb_tpm_map  2   uniform          98                      98          0.747107             9.723128                       0.581114           0.037033                   0.061224
oa_hb_tpm_no_phase_alignment  2   uniform          98                      98          0.747559             9.718876                       0.579873           0.036986                   0.071429
                 source_mean  2   uniform          98                      98          0.747074             9.764947                       0.591006           0.036819                   0.091837
                 target_only  2   uniform          98                      98          0.745477             9.844626                       0.601620           0.037505                   0.102041
           hb_tpm_latent_mse  3 clustered          98                     490          0.751492             9.514836                       0.572148           0.037427                   0.381633
   oa_hb_tpm_isotropic_prior  3 clustered          98                     490          0.749179             9.882032                       0.604083           0.037733                   0.865306
               oa_hb_tpm_map  3 clustered          98                     490          0.749217             9.880466                       0.604121           0.037734                   0.851020
oa_hb_tpm_no_phase_alignment  3 clustered          98                     490          0.749265             9.880690                       0.604200           0.037730                   0.863265
                 source_mean  3 clustered          98                     490          0.749869             9.776413                       0.591179           0.037089                   0.485714
                 target_only  3 clustered          98                     490          0.747336             9.926663                       0.605661           0.037790                   0.867347
           hb_tpm_latent_mse  3    random          98                     490          0.750507             9.511790                       0.570859           0.037234                   0.169388
   oa_hb_tpm_isotropic_prior  3    random          98                     490          0.748049             9.868093                       0.598259           0.037624                   0.532653
               oa_hb_tpm_map  3    random          98                     490          0.748081             9.869137                       0.598349           0.037623                   0.481633
oa_hb_tpm_no_phase_alignment  3    random          98                     490          0.748139             9.866337                       0.598184           0.037615                   0.489796
                 source_mean  3    random          98                     490          0.748639             9.787299                       0.591179           0.037064                   0.359184
                 target_only  3    random          98                     490          0.745961             9.954245                       0.607425           0.037864                   0.581633
           hb_tpm_latent_mse  3   uniform          98                      98          0.750371             9.461456                       0.568740           0.036945                   0.102041
   oa_hb_tpm_isotropic_prior  3   uniform          98                      98          0.747932             9.818370                       0.598268           0.037374                   0.051020
               oa_hb_tpm_map  3   uniform          98                      98          0.747973             9.819037                       0.598231           0.037370                   0.061224
oa_hb_tpm_no_phase_alignment  3   uniform          98                      98          0.748069             9.814483                       0.598617           0.037372                   0.040816
                 source_mean  3   uniform          98                      98          0.748366             9.754310                       0.591179           0.036831                   0.122449
                 target_only  3   uniform          98                      98          0.745991             9.913366                       0.608218           0.037629                   0.071429
           hb_tpm_latent_mse  5 clustered          98                     490          0.754513             9.468726                       0.572365           0.037196                   0.000000
   oa_hb_tpm_isotropic_prior  5 clustered          98                     490          0.749612             9.896535                       0.606551           0.037878                   0.916327
               oa_hb_tpm_map  5 clustered          98                     490          0.749624             9.898250                       0.606276           0.037873                   0.938776
oa_hb_tpm_no_phase_alignment  5 clustered          98                     490          0.749616             9.898605                       0.606224           0.037875                   0.944898
                 source_mean  5 clustered          98                     490          0.751042             9.758836                       0.590630           0.037092                   0.642857
                 target_only  5 clustered          98                     490          0.748696             9.921851                       0.607789           0.037833                   0.997959
           hb_tpm_latent_mse  5    random          98                     490          0.751934             9.460829                       0.570782           0.037135                   0.016327
   oa_hb_tpm_isotropic_prior  5    random          98                     490          0.747460             9.906499                       0.605983           0.037828                   0.522449
               oa_hb_tpm_map  5    random          98                     490          0.747485             9.906574                       0.605649           0.037821                   0.551020
oa_hb_tpm_no_phase_alignment  5    random          98                     490          0.747480             9.906571                       0.605432           0.037818                   0.534694
                 source_mean  5    random          98                     490          0.749245             9.756893                       0.590630           0.036999                   0.526531
                 target_only  5    random          98                     490          0.746837             9.934328                       0.608296           0.037806                   0.461224
           hb_tpm_latent_mse  5   uniform          98                      98          0.750857             9.424113                       0.565806           0.037037                   0.122449
   oa_hb_tpm_isotropic_prior  5   uniform          98                      98          0.747047             9.881830                       0.600872           0.037551                   0.051020
               oa_hb_tpm_map  5   uniform          98                      98          0.747104             9.873389                       0.600114           0.037528                   0.030612
oa_hb_tpm_no_phase_alignment  5   uniform          98                      98          0.747097             9.873877                       0.599993           0.037527                   0.040816
                 source_mean  5   uniform          98                      98          0.748172             9.756748                       0.590630           0.036874                   0.112245
                 target_only  5   uniform          98                      98          0.745831             9.921989                       0.604004           0.037579                   0.081633
           hb_tpm_latent_mse  7 clustered          98                     490          0.757559             9.275491                       0.553959           0.036759                   0.000000
   oa_hb_tpm_isotropic_prior  7 clustered          98                     490          0.750049             9.877186                       0.604230           0.038015                   1.000000
               oa_hb_tpm_map  7 clustered          98                     490          0.750074             9.875490                       0.604112           0.038008                   1.000000
oa_hb_tpm_no_phase_alignment  7 clustered          98                     490          0.750077             9.875641                       0.604131           0.038009                   1.000000
                 source_mean  7 clustered          98                     490          0.752097             9.754344                       0.590515           0.037214                   0.393878
                 target_only  7 clustered          98                     490          0.749268             9.876316                       0.609345           0.037783                   1.000000
           hb_tpm_latent_mse  7    random          98                     490          0.754093             9.215349                       0.545581           0.036507                   0.020408
   oa_hb_tpm_isotropic_prior  7    random          98                     490          0.746430             9.924708                       0.603157           0.037904                   0.940816
               oa_hb_tpm_map  7    random          98                     490          0.746422             9.924165                       0.603185           0.037905                   0.940816
oa_hb_tpm_no_phase_alignment  7    random          98                     490          0.746428             9.923878                       0.603162           0.037905                   0.942857
                 source_mean  7    random          98                     490          0.748622             9.776673                       0.590515           0.037058                   0.338776
                 target_only  7    random          98                     490          0.745413             9.938782                       0.607549           0.037744                   0.926531
           hb_tpm_latent_mse  7   uniform          98                      98          0.753093             9.213684                       0.542159           0.036456                   0.112245
   oa_hb_tpm_isotropic_prior  7   uniform          98                      98          0.746304             9.906442                       0.603042           0.037722                   0.061224
               oa_hb_tpm_map  7   uniform          98                      98          0.746291             9.906494                       0.603159           0.037727                   0.030612
oa_hb_tpm_no_phase_alignment  7   uniform          98                      98          0.746292             9.906495                       0.603131           0.037726                   0.040816
                 source_mean  7   uniform          98                      98          0.748299             9.762601                       0.590515           0.036892                   0.081633
                 target_only  7   uniform          98                      98          0.745327             9.920454                       0.607501           0.037564                   0.142857
           hb_tpm_latent_mse 10 clustered          98                     490          0.759273             9.372346                       0.560041           0.037025                   0.002041
   oa_hb_tpm_isotropic_prior 10 clustered          98                     490          0.752658             9.879152                       0.604603           0.038117                   0.604082
               oa_hb_tpm_map 10 clustered          98                     490          0.752673             9.877292                       0.604449           0.038106                   0.604082
oa_hb_tpm_no_phase_alignment 10 clustered          98                     490          0.752672             9.877242                       0.604466           0.038107                   0.604082
                 source_mean 10 clustered          98                     490          0.754705             9.780013                       0.590421           0.037412                   0.434694
                 target_only 10 clustered          98                     490          0.751358             9.906686                       0.608479           0.037872                   0.002041
           hb_tpm_latent_mse 10    random          98                     490          0.755518             9.217056                       0.544850           0.036219                   0.116327
   oa_hb_tpm_isotropic_prior 10    random          98                     490          0.747149             9.886566                       0.602380           0.037787                   0.516327
               oa_hb_tpm_map 10    random          98                     490          0.747142             9.885686                       0.602531           0.037792                   0.510204
oa_hb_tpm_no_phase_alignment 10    random          98                     490          0.747143             9.885168                       0.602521           0.037791                   0.508163
                 source_mean 10    random          98                     490          0.749520             9.749668                       0.590421           0.036960                   0.395918
                 target_only 10    random          98                     490          0.746273             9.918839                       0.609207           0.037653                   0.010204
           hb_tpm_latent_mse 10   uniform          98                      98          0.754158             9.248644                       0.543454           0.036266                   0.163265
   oa_hb_tpm_isotropic_prior 10   uniform          98                      98          0.746222             9.905150                       0.602324           0.037746                   0.102041
               oa_hb_tpm_map 10   uniform          98                      98          0.746218             9.903727                       0.602493           0.037752                   0.102041
oa_hb_tpm_no_phase_alignment 10   uniform          98                      98          0.746217             9.903031                       0.602482           0.037752                   0.102041
                 source_mean 10   uniform          98                      98          0.748415             9.763256                       0.590421           0.036925                   0.071429
                 target_only 10   uniform          98                      98          0.745377             9.935110                       0.609205           0.037612                   0.071429
Aggregated 150 run files into private_data/ted_full/aggregate/all_learned_vs_latent_mse_v2
