method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,trust_gate_rejection_rate
hb_tpm_latent_mse,2,clustered,98,490,0.7512758172158149,9.65185977579478,0.59513421882539,0.0375864754849094,0.5897959183673469
oa_hb_tpm_isotropic_prior,2,clustered,98,490,0.7489027380567711,9.825131428788573,0.6008470703597427,0.03762184628950693,0.9836734693877551
oa_hb_tpm_map,2,clustered,98,490,0.7483792272524358,9.835566801820825,0.6035683000811112,0.03767764027591562,1.0
oa_hb_tpm_no_phase_alignment,2,clustered,98,490,0.748937634959238,9.824480096927326,0.600731776068995,0.03761647771663807,0.9836734693877551
source_mean,2,clustered,98,490,0.7492024526766099,9.775952099602833,0.5910058645541089,0.03706357014574562,0.6326530612244898
target_only,2,clustered,98,490,0.7472482065554457,9.863290526413019,0.6046793647001762,0.03773648264836896,0.6183673469387755
hb_tpm_latent_mse,2,random,98,490,0.7512316684376659,9.60275888111512,0.5903371520776214,0.03742002501931722,0.5693877551020409
oa_hb_tpm_isotropic_prior,2,random,98,490,0.7486813448421835,9.781852700699156,0.595263142019356,0.03747140398363065,0.8612244897959184
oa_hb_tpm_map,2,random,98,490,0.7480995973005348,9.795665680641703,0.5984420888400708,0.03754831859461807,0.8816326530612245
oa_hb_tpm_no_phase_alignment,2,random,98,490,0.7487002158110926,9.78368222022842,0.5954291215168668,0.037474743907853006,0.8530612244897959
source_mean,2,random,98,490,0.7487012746314408,9.76567153679749,0.5910058119804397,0.03702593671956227,0.5183673469387755
target_only,2,random,98,490,0.7468339086066056,9.851632941551914,0.6046046177031272,0.037715681131016796,0.6204081632653061
hb_tpm_latent_mse,2,uniform,98,98,0.7516867134592676,9.455239731290337,0.5730595039356281,0.036581501811362604,0.07142857142857142
oa_hb_tpm_isotropic_prior,2,uniform,98,98,0.7475546498152362,9.713369400018284,0.5791716542656444,0.036972202626722156,0.05102040816326531
oa_hb_tpm_map,2,uniform,98,98,0.7471067693234541,9.723127745901676,0.5811139336915222,0.03703284330133876,0.061224489795918366
oa_hb_tpm_no_phase_alignment,2,uniform,98,98,0.7475588456462493,9.718876166640419,0.5798731344414543,0.036986454931676946,0.07142857142857142
source_mean,2,uniform,98,98,0.7470736440368828,9.764946522256011,0.5910057312210149,0.0368193790829759,0.09183673469387756
target_only,2,uniform,98,98,0.7454765827936906,9.844625757312576,0.6016202259688399,0.03750497772719478,0.10204081632653061
hb_tpm_latent_mse,3,clustered,98,490,0.7514918375627478,9.514835776465812,0.5721483531023602,0.03742731858272937,0.3816326530612245
oa_hb_tpm_isotropic_prior,3,clustered,98,490,0.7491786255129678,9.88203201726839,0.6040832238366379,0.0377326567676298,0.8653061224489796
oa_hb_tpm_map,3,clustered,98,490,0.749216515022097,9.880465728721518,0.6041207984767111,0.03773387782085606,0.8510204081632653
oa_hb_tpm_no_phase_alignment,3,clustered,98,490,0.7492647814896399,9.880690197688542,0.6042002015089123,0.037729960313180835,0.863265306122449
source_mean,3,clustered,98,490,0.7498685676899205,9.776412651519022,0.5911789192134583,0.03708925252324155,0.4857142857142857
