candidate_method,reference_method,k,strategy,metric,difference_definition,n_paired_patients,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
source_mean,oa_hb_tpm_map,2,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0008232254241742315,-0.000593002773590016,0.0023132255078473773,patient
source_mean,oa_hb_tpm_map,2,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.059614702217992414,-0.11349125252944994,-0.009738437084306028,patient
source_mean,oa_hb_tpm_map,2,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.012562435527002374,-0.015608364560923849,-0.0096725959939727,patient
source_mean,oa_hb_tpm_map,2,clustered,hidden_brier,candidate_minus_reference,98,-0.0006140701301699993,-0.0008568923111187643,-0.00038605054878458644,patient
source_mean,oa_hb_tpm_map,2,random,mean_hidden_dice,candidate_minus_reference,98,0.000601677330906039,-0.0007940682986202116,0.002013925889482728,patient
source_mean,oa_hb_tpm_map,2,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.02999414384421305,-0.08259458427757381,0.016762485267123747,patient
source_mean,oa_hb_tpm_map,2,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.007436276859631193,-0.010962492749040395,-0.0039128749275663,patient
source_mean,oa_hb_tpm_map,2,random,hidden_brier,candidate_minus_reference,98,-0.0005223818750557854,-0.0007520529385466012,-0.00030604250610293026,patient
source_mean,oa_hb_tpm_map,2,uniform,mean_hidden_dice,candidate_minus_reference,98,-3.312528657141518e-05,-0.0014181050215837513,0.0013373336077998413,patient
source_mean,oa_hb_tpm_map,2,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.041818776354333904,-0.016848175496001233,0.10097819291979308,patient
source_mean,oa_hb_tpm_map,2,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.009891797529492657,0.004321234457919709,0.015536490719868592,patient
source_mean,oa_hb_tpm_map,2,uniform,hidden_brier,candidate_minus_reference,98,-0.00021346421836285928,-0.00042543349245905624,-1.8242690759730373e-05,patient
source_mean,oa_hb_tpm_map,3,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0006520526678235999,-0.0013793410402281304,0.0026073578131653456,patient
source_mean,oa_hb_tpm_map,3,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.1040530772024944,-0.16195075978207385,-0.04636688473619036,patient
source_mean,oa_hb_tpm_map,3,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.012941879263252751,-0.016278328814031347,-0.009567653377232763,patient
source_mean,oa_hb_tpm_map,3,clustered,hidden_brier,candidate_minus_reference,98,-0.00064462529761451,-0.0009404574594061336,-0.00038225095296202846,patient
source_mean,oa_hb_tpm_map,3,random,mean_hidden_dice,candidate_minus_reference,98,0.0005584877533645263,-0.0013911043212521447,0.0024944540278472975,patient
source_mean,oa_hb_tpm_map,3,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.08183806508251971,-0.14135761253200843,-0.020935232644115974,patient
source_mean,oa_hb_tpm_map,3,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.007170287056903331,-0.011243666940431215,-0.0029772912203219854,patient
source_mean,oa_hb_tpm_map,3,random,hidden_brier,candidate_minus_reference,98,-0.0005595917528381154,-0.0008491291878364826,-0.00030464169987458756,patient
source_mean,oa_hb_tpm_map,3,uniform,mean_hidden_dice,candidate_minus_reference,98,0.00039320254956302215,-0.001565413408970126,0.0023375391121700623,patient
source_mean,oa_hb_tpm_map,3,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.0647267457508801,-0.12190160480646597,-0.00867474040882566,patient
source_mean,oa_hb_tpm_map,3,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.007052682606344911,-0.011242625490358843,-0.002623861297699932,patient
source_mean,oa_hb_tpm_map,3,uniform,hidden_brier,candidate_minus_reference,98,-0.0005386315704304388,-0.0008069770337006539,-0.00029816785518422807,patient
source_mean,oa_hb_tpm_map,5,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0014185839884375572,-0.00047988701386124345,0.0032773277375513997,patient
source_mean,oa_hb_tpm_map,5,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.1394142823441223,-0.20374529099830477,-0.07571980296722015,patient
source_mean,oa_hb_tpm_map,5,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.01564557549164855,-0.01819953964270654,-0.013237997414391854,patient
source_mean,oa_hb_tpm_map,5,clustered,hidden_brier,candidate_minus_reference,98,-0.000781721566632695,-0.0010436226963540735,-0.0005262040759778894,patient
source_mean,oa_hb_tpm_map,5,random,mean_hidden_dice,candidate_minus_reference,98,0.0017597670019069479,-6.23245292590878e-05,0.003540122930113761,patient
source_mean,oa_hb_tpm_map,5,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.14968072823140122,-0.21287911790478778,-0.0876972194877658,patient
source_mean,oa_hb_tpm_map,5,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.015018605228050506,-0.018312237991198795,-0.011843230538173223,patient
source_mean,oa_hb_tpm_map,5,random,hidden_brier,candidate_minus_reference,98,-0.0008220279646315151,-0.00106193116476417,-0.0005851573748894218,patient
source_mean,oa_hb_tpm_map,5,uniform,mean_hidden_dice,candidate_minus_reference,98,0.0010681152298574726,-0.0007450859919988467,0.002853025571238774,patient
source_mean,oa_hb_tpm_map,5,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.11664094596252708,-0.17817767342135235,-0.05550763149965171,patient
source_mean,oa_hb_tpm_map,5,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.0094841067151835,-0.013100364948381949,-0.0058973370754144515,patient
source_mean,oa_hb_tpm_map,5,uniform,hidden_brier,candidate_minus_reference,98,-0.0006548004338935953,-0.0008996153758762827,-0.0004256212349734044,patient
source_mean,oa_hb_tpm_map,7,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0020227238952140797,0.0001035214681651335,0.0037701465142653302,patient
source_mean,oa_hb_tpm_map,7,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.12114590254869219,-0.19214406755853014,-0.048452763502223405,patient
source_mean,oa_hb_tpm_map,7,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.013597349682645272,-0.017203976870346926,-0.01015809879229847,patient
source_mean,oa_hb_tpm_map,7,clustered,hidden_brier,candidate_minus_reference,98,-0.0007948314048806036,-0.0010867086942402708,-0.0005230030909237673,patient
source_mean,oa_hb_tpm_map,7,random,mean_hidden_dice,candidate_minus_reference,98,0.0021993136737486685,0.0003049733126273575,0.003993445620880565,patient
source_mean,oa_hb_tpm_map,7,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.14749176741175085,-0.21883954211661896,-0.07641950916457174,patient
source_mean,oa_hb_tpm_map,7,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.012670098288602046,-0.017027973664708963,-0.008313072123076401,patient
source_mean,oa_hb_tpm_map,7,random,hidden_brier,candidate_minus_reference,98,-0.0008472814357706457,-0.001119888413041753,-0.0005940199868601497,patient
source_mean,oa_hb_tpm_map,7,uniform,mean_hidden_dice,candidate_minus_reference,98,0.0020075203076577383,0.00012601799387750256,0.0038767183273736966,patient
source_mean,oa_hb_tpm_map,7,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.1438923362603334,-0.21116922054636447,-0.07648180159639263,patient
source_mean,oa_hb_tpm_map,7,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.01264439367926538,-0.017057244962267723,-0.008415061078620013,patient
source_mean,oa_hb_tpm_map,7,uniform,hidden_brier,candidate_minus_reference,98,-0.0008354791801194704,-0.0010889324499769213,-0.00059524699380355,patient
source_mean,oa_hb_tpm_map,10,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0020315074172820636,0.0001799207812366073,0.0038358271271561424,patient
source_mean,oa_hb_tpm_map,10,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.09727912877952141,-0.17798082444575175,-0.021048175403256313,patient
source_mean,oa_hb_tpm_map,10,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.014028116976913975,-0.017797428676120924,-0.010283572174873115,patient
source_mean,oa_hb_tpm_map,10,clustered,hidden_brier,candidate_minus_reference,98,-0.0006937312665490478,-0.0010117949108707186,-0.0003937274200499673,patient
source_mean,oa_hb_tpm_map,10,random,mean_hidden_dice,candidate_minus_reference,98,0.0023782125559081283,0.0005358546246483412,0.004257778075783292,patient
source_mean,oa_hb_tpm_map,10,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.13601781590161913,-0.20404642316142652,-0.0694000484960286,patient
source_mean,oa_hb_tpm_map,10,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.012110441994362694,-0.016630821967516585,-0.007729309038563342,patient
source_mean,oa_hb_tpm_map,10,random,hidden_brier,candidate_minus_reference,98,-0.0008320908499311395,-0.001093601803437861,-0.0005747967944195333,patient
source_mean,oa_hb_tpm_map,10,uniform,mean_hidden_dice,candidate_minus_reference,98,0.002197173636882929,0.0003676656272757817,0.0039978103618003216,patient
source_mean,oa_hb_tpm_map,10,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.14047027762339412,-0.20430977874953707,-0.07723422931905438,patient
source_mean,oa_hb_tpm_map,10,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.01207248382791024,-0.016501379157400325,-0.007692845087095911,patient
source_mean,oa_hb_tpm_map,10,uniform,hidden_brier,candidate_minus_reference,98,-0.0008273911377300992,-0.001086768585884448,-0.0005909588287717414,patient
target_only,oa_hb_tpm_map,2,clustered,mean_hidden_dice,candidate_minus_reference,98,-0.0011310206969900557,-0.002171407789662036,-0.00010368538422891066,patient
target_only,oa_hb_tpm_map,2,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.027723724592193053,-0.022247136487566776,0.07607093287787783,patient
target_only,oa_hb_tpm_map,2,clustered,area_curve_relative_rmse,candidate_minus_reference,98,0.001111064619065051,-0.0034077074432503707,0.005365021882497479,patient
target_only,oa_hb_tpm_map,2,clustered,hidden_brier,candidate_minus_reference,98,5.8842372453333606e-05,-0.0001393084617198565,0.0002547469138814007,patient
target_only,oa_hb_tpm_map,2,random,mean_hidden_dice,candidate_minus_reference,98,-0.0012656886939291668,-0.002292633606577257,-0.00026145756442574474,patient
target_only,oa_hb_tpm_map,2,random,mean_hidden_hd95_px,candidate_minus_reference,98,0.05596726091021033,0.006124129947577818,0.10877077264719551,patient
target_only,oa_hb_tpm_map,2,random,area_curve_relative_rmse,candidate_minus_reference,98,0.006162528863056426,0.0013343782502018644,0.011008016501917753,patient
target_only,oa_hb_tpm_map,2,random,hidden_brier,candidate_minus_reference,98,0.00016736253639872999,-2.2938800690584364e-05,0.00035687347299096303,patient
target_only,oa_hb_tpm_map,2,uniform,mean_hidden_dice,candidate_minus_reference,98,-0.0016301865297635144,-0.0027935763701816647,-0.0004574343576216739,patient
target_only,oa_hb_tpm_map,2,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.12149801141090043,0.07079329159833606,0.17359097064647963,patient
target_only,oa_hb_tpm_map,2,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.020506292277317695,0.01577303749240233,0.025481262702402446,patient
target_only,oa_hb_tpm_map,2,uniform,hidden_brier,candidate_minus_reference,98,0.00047213442585601433,0.00028854507753358857,0.0006605372543218559,patient
