epoch=000 train_loss=1.51208 validation_dice=0.65589 best=0.65589
epoch=001 train_loss=1.38049 validation_dice=0.72941 best=0.72941
epoch=002 train_loss=1.19528 validation_dice=0.74233 best=0.74233
epoch=003 train_loss=0.98681 validation_dice=0.74001 best=0.74233
epoch=004 train_loss=0.80110 validation_dice=0.75160 best=0.75160
epoch=005 train_loss=0.65820 validation_dice=0.76020 best=0.76020
epoch=006 train_loss=0.55850 validation_dice=0.76482 best=0.76482
epoch=007 train_loss=0.51067 validation_dice=0.75785 best=0.76482
epoch=008 train_loss=0.47005 validation_dice=0.76203 best=0.76482
epoch=009 train_loss=0.46019 validation_dice=0.76129 best=0.76482
epoch=010 train_loss=0.45003 validation_dice=0.76649 best=0.76649
epoch=011 train_loss=0.44250 validation_dice=0.76274 best=0.76649
epoch=012 train_loss=0.43709 validation_dice=0.76584 best=0.76649
epoch=013 train_loss=0.43912 validation_dice=0.76896 best=0.76896
epoch=014 train_loss=0.42850 validation_dice=0.76282 best=0.76896
epoch=015 train_loss=0.43052 validation_dice=0.76583 best=0.76896
epoch=016 train_loss=0.42404 validation_dice=0.76824 best=0.76896
epoch=017 train_loss=0.42097 validation_dice=0.76494 best=0.76896
epoch=018 train_loss=0.41973 validation_dice=0.76566 best=0.76896
epoch=019 train_loss=0.42615 validation_dice=0.76597 best=0.76896
epoch=020 train_loss=0.42831 validation_dice=0.76158 best=0.76896
epoch=021 train_loss=0.43679 validation_dice=0.77198 best=0.77198
epoch=022 train_loss=0.42354 validation_dice=0.76496 best=0.77198
epoch=023 train_loss=0.41198 validation_dice=0.76943 best=0.77198
epoch=024 train_loss=0.42583 validation_dice=0.77213 best=0.77213
epoch=025 train_loss=0.42178 validation_dice=0.77226 best=0.77226
epoch=026 train_loss=0.42775 validation_dice=0.76381 best=0.77226
epoch=027 train_loss=0.42430 validation_dice=0.77009 best=0.77226
epoch=028 train_loss=0.41917 validation_dice=0.76827 best=0.77226
epoch=029 train_loss=0.41250 validation_dice=0.77069 best=0.77226
epoch=030 train_loss=0.41626 validation_dice=0.77106 best=0.77226
epoch=031 train_loss=0.40395 validation_dice=0.77056 best=0.77226
epoch=032 train_loss=0.40309 validation_dice=0.76273 best=0.77226
epoch=033 train_loss=0.41383 validation_dice=0.75435 best=0.77226
epoch=034 train_loss=0.40242 validation_dice=0.77515 best=0.77515
epoch=035 train_loss=0.40995 validation_dice=0.77871 best=0.77871
epoch=036 train_loss=0.39446 validation_dice=0.76326 best=0.77871
epoch=037 train_loss=0.39265 validation_dice=0.77331 best=0.77871
epoch=038 train_loss=0.39130 validation_dice=0.77503 best=0.77871
epoch=039 train_loss=0.38251 validation_dice=0.77168 best=0.77871
epoch=040 train_loss=0.38355 validation_dice=0.75654 best=0.77871
epoch=041 train_loss=0.38849 validation_dice=0.77821 best=0.77871
epoch=042 train_loss=0.37808 validation_dice=0.78162 best=0.78162
epoch=043 train_loss=0.36568 validation_dice=0.77181 best=0.78162
epoch=044 train_loss=0.38364 validation_dice=0.76996 best=0.78162
epoch=045 train_loss=0.37065 validation_dice=0.77754 best=0.78162
epoch=046 train_loss=0.37307 validation_dice=0.77260 best=0.78162
epoch=047 train_loss=0.35535 validation_dice=0.76926 best=0.78162
epoch=048 train_loss=0.34839 validation_dice=0.75148 best=0.78162
epoch=049 train_loss=0.35410 validation_dice=0.74845 best=0.78162
epoch=050 train_loss=0.35670 validation_dice=0.76772 best=0.78162
epoch=051 train_loss=0.36302 validation_dice=0.76428 best=0.78162
epoch=052 train_loss=0.34859 validation_dice=0.76936 best=0.78162
epoch=053 train_loss=0.34273 validation_dice=0.77244 best=0.78162
epoch=054 train_loss=0.33759 validation_dice=0.77486 best=0.78162
        method_id  k  strategy  n_patients  n_patient_observations  mean_hidden_dice  mean_hidden_hd95_px  mean_area_curve_relative_rmse  mean_hidden_brier  mean_hidden_area_95_coverage  trust_gate_rejection_rate  mean_runtime_s
hb_tpm_latent_mse 10 clustered          20                     100          0.767133             8.429320                       0.261732           0.032211                      0.998571                       0.00        0.029110
hb_tpm_latent_mse 10    random          20                     100          0.768170             8.174066                       0.233323           0.030575                      0.999286                       0.33        0.029051
hb_tpm_latent_mse 10   uniform          20                      20          0.768366             8.189203                       0.232192           0.030384                      1.000000                       0.40        0.030954
Checkpoint: private_data/ted_full/runs/hb_tpm_latent_mse/fold1_k10_all_strategies/checkpoints/best_model.pt
