method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse
oracle_contour_periodic_fourier,2,clustered,98,490,0.935284377104192,2.296144802668781,0.11306445612615791
oracle_contour_periodic_fourier,2,random,98,490,0.9241578561691293,2.693864139298556,0.13934697223123266
oracle_contour_periodic_fourier,2,uniform,98,98,0.8749246458739887,4.415304610203167,0.25118494857488993
oracle_contour_periodic_fourier,3,clustered,98,490,0.9369946990076627,2.3317872688382466,0.09184292385539226
oracle_contour_periodic_fourier,3,random,98,490,0.9385699465206295,2.2219482602871996,0.09298069996444654
oracle_contour_periodic_fourier,3,uniform,98,98,0.9221444719141155,2.76459889315598,0.09123681944685456
oracle_contour_periodic_fourier,5,clustered,98,490,0.9306963578754174,2.4958459128434236,0.11494939309017475
oracle_contour_periodic_fourier,5,random,98,490,0.9512271712007275,1.8525307766858121,0.06874031244439471
oracle_contour_periodic_fourier,5,uniform,98,98,0.9431422173710396,2.0289009909348215,0.045357343082094735
oracle_contour_periodic_fourier,7,clustered,98,490,0.9182684903568609,2.851625405463137,0.1305400228893574
oracle_contour_periodic_fourier,7,random,98,490,0.9563273800741912,1.7049727932045586,0.059058560239084616
oracle_contour_periodic_fourier,7,uniform,98,98,0.9618212428790675,1.4832902770381062,0.03027634104967025
oracle_contour_periodic_fourier,10,clustered,98,490,0.9142830208362145,2.938758899576005,0.11773723903256002
oracle_contour_periodic_fourier,10,random,98,490,0.9713828387754069,1.2685993740672081,0.02754512934920383
oracle_contour_periodic_fourier,10,uniform,98,98,0.9839090438264005,1.0018939468192363,0.015757637683402343
