epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.4922019243240356,1.508647346496582,-0.16445571401466927,0.0,5.364615649853614e-10,1.572286607067023e-05,0.3665022644389763,1.427424955368042,1.4594455242156983,-0.3202077686786652,0.0,1.252003012375269e-09,2.9768573222099802e-05,0.6512292986478047
1,1.3369718551635743,1.3782537221908568,-0.412822828690211,0.0,2.8234904636548207e-09,4.0494981900944066e-05,0.7027038325283025,1.250391173362732,1.3015049934387206,-0.5111429810523986,0.0,5.681144799041249e-09,5.2288816368673e-05,0.7247064600167206
2,1.1388911167780558,1.197823445002238,-0.5893301049868266,0.0,2.8887988801074015e-08,6.898875847885696e-05,0.7281139819800502,1.0287620186805726,1.0961860418319702,-0.6742496132850647,0.0,7.04745843904675e-08,9.006752516143024e-05,0.7377025491116683
3,0.9159846544265747,0.9902540445327759,-0.7427069703737895,0.0,2.2548792391792934e-07,0.0001297402661293745,0.732551715164783,0.8078707218170166,0.8897856116294861,-0.8191674590110779,0.0,5.053173026681179e-07,0.00018345170246902853,0.7376884235799909
4,0.7092228929201762,0.7977820912996928,-0.8856167157491048,0.0,1.1410307327726817e-06,0.000240737124113366,0.7373110713905655,0.6180754184722901,0.7142029523849487,-0.9613075733184815,0.0,2.1558133084909057e-06,0.00031227808212861417,0.7437279011354048
5,0.5489488999048869,0.6517305016517639,-1.027858066558838,0.0,4.137989647764092e-06,0.00040001784606526295,0.7387890648686946,0.46957982182502744,0.5799558639526368,-1.103810477256775,0.0,6.8539690801117105e-06,0.0004671584814786911,0.7555802941596386
6,0.44551788171132406,0.5625959217548371,-1.1708321650822957,0.0,7.507443206122843e-06,0.00047914053429849447,0.7365260931991139,0.37699630856513977,0.5017460644245147,-1.2475562572479248,0.0,1.0409012975287624e-05,0.000536658032797277,0.7549287649890342
7,0.3673353453477224,0.49889895915985105,-1.3156981229782105,0.0,1.179049389368932e-05,0.0005604323737012844,0.7427687826899159,0.31771554350852965,0.4571313202381134,-1.3942286491394043,0.0,1.5408995022880844e-05,0.0006325405440293253,0.7565840862301461
8,0.3245929737885793,0.4708926518758138,-1.4630742152531941,0.0,1.7589245544513687e-05,0.0006868296962541839,0.7388935792048044,0.287284716963768,0.44158793091773985,-1.5431053400039674,0.0,1.7612405645195395e-05,0.0006429860834032298,0.7538973967040734
9,0.2939001480738322,0.4552828828493754,-1.6139062881469726,0.0,2.2570814083640776e-05,0.0006768719060346485,0.7435670855291974,0.2438413381576538,0.41348584890365603,-1.6965198040008544,0.0,1.9705447994056157e-05,0.000648863532114774,0.7634669878294268
10,0.27268191874027253,0.4495695014794668,-1.768947164217631,0.0,1.869111280636086e-05,0.0006201750366017222,0.7364984316314312,0.23015763461589814,0.414667022228241,-1.8451637744903564,0.0,1.7590178686077707e-05,0.0006114533171057701,0.7561867633959758
11,0.2523064523935318,0.44486000935236614,-1.92560613155365,0.0,1.7259150384537256e-05,0.0006200779074182113,0.7390316350197262,0.2004980504512787,0.40192403793334963,-2.01432785987854,0.0,1.5895571050350554e-05,0.0006011285004206002,0.7618237013668822
12,0.2307091866930326,0.4394250492254893,-2.087232971191406,0.0,2.0076370856259018e-05,0.0006434572278521955,0.7407449021010718,0.1832447052001953,0.4006041705608368,-2.1736623287200927,0.0,1.6186263019335455e-05,0.000596585066523403,0.7601238967839216
13,0.21595133344332376,0.44115503629048664,-2.2520905176798505,0.0,7.173465958961363e-06,0.0004996092970638226,0.7384302892714668,0.16627087742090224,0.4005923092365265,-2.3432663917541503,0.0,5.1716639973165e-06,0.0004948368528857827,0.7586334916254445
14,0.19031249061226846,0.43267229199409485,-2.4236618836720782,0.0,8.705025265953736e-06,0.0005953762913122774,0.7381956526301561,0.1473277360200882,0.39922946095466616,-2.5190900802612304,0.0,9.947840226232074e-06,0.000680135830771178,0.7575007096543287
15,0.17405832211176556,0.43331894675890603,-2.5926721254984537,0.0,8.422942998246679e-06,0.0006172101556633909,0.739610191772938,0.1270340032875538,0.39598662257194517,-2.6895848751068114,0.0,6.839924117230111e-06,0.0005531452829018235,0.7589566727201827
16,0.15356497839093208,0.42998804450035094,-2.7642951806386313,0.0,8.25489866353261e-06,0.0006044405357291301,0.7418772728414817,0.10794397592544555,0.3944516658782959,-2.8651362895965575,0.0,8.563471419620328e-06,0.0005516150267794728,0.7602149403307357
17,0.13509561941027642,0.4290050049622854,-2.9391464392344155,0.0,8.054009867919376e-06,0.00048579961294308304,0.7416913929036014,0.09088410250842571,0.39393255710601804,-3.0305387496948244,0.0,6.098506582929986e-06,0.0005121536669321358,0.7577700080333521
18,0.11464141230098904,0.4252297759056091,-3.105955950419108,0.0,7.684374637998797e-06,0.0006859346603353818,0.7426336739169344,0.07397201003623195,0.39382204413414,-3.1985832691192626,0.0,6.608284274989274e-06,0.0007974177249707281,0.7591149088007895
19,0.10048179402947426,0.42568123737970986,-3.2520641326904296,0.0,5.7886747223771335e-06,0.0006687808355006079,0.7411176972469774,0.05841323733329773,0.3896773993968964,-3.3126895427703857,0.0,6.174956433824264e-06,0.00044893589802086353,0.7604266544882231
20,0.09527454543858767,0.4285667479038239,-3.3329737981160483,0.0,6.338864811065529e-06,0.00048680013278499243,0.7408303943643919,0.054345760494470596,0.39233177304267886,-3.379911756515503,0.0,6.433686849049991e-06,0.00048423812258988617,0.7590782696329419
21,0.08572931553547582,0.42457089026769,-3.388450050354004,0.0,2.2989712912628115e-06,0.00033178546582348647,0.7413497792186445,0.0485879622399807,0.3909071207046509,-3.423214387893677,0.0,1.155386144091608e-06,0.00022276015079114586,0.758378151112041
