epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.4990997314453125,1.5163351456324259,-0.17239593925575417,0.0,1.2936680423199694e-06,0.0004126492017045772,0.31992254041285184,1.4256966590881348,1.458506965637207,-0.3281097412109375,0.0,5.178022064455945e-08,6.92193723807577e-05,0.6262035320811592
1,1.3422037680943808,1.3843782107035318,-0.42177454034487405,0.0,1.7895897265418626e-06,0.0002904175242292695,0.7013066286641206,1.2470213651657105,1.2988210916519165,-0.5180024623870849,0.0,2.722155230117096e-08,5.0815919530577956e-05,0.7272761988379587
2,1.1427110195159913,1.202018149693807,-0.5930979053179423,0.0,2.7605698729023703e-06,0.0002505619314130551,0.7338397473773219,1.023857319355011,1.091393494606018,-0.6753669619560242,0.0,2.459210151073421e-08,5.016674404032528e-05,0.7388488485599345
3,0.9198203285535177,0.9940550088882446,-0.7423814535140991,0.0,5.087059409802919e-06,0.00032098224570897095,0.7394657301756357,0.8052613139152527,0.886987566947937,-0.8172670125961303,0.0,1.757625707199395e-08,4.296242404961958e-05,0.7410174593057827
4,0.7133702874183655,0.8016429781913758,-0.8827524820963542,0.0,2.6574665977108227e-06,0.00024280513874449147,0.7416438732712801,0.6129473090171814,0.7086847305297852,-0.9573774576187134,0.0,9.494908148610647e-09,3.089464589720592e-05,0.7468763315758354
5,0.5446011463801066,0.6468897382418315,-1.0229034860928854,0.0,1.5318757239590753e-06,0.00016687989688459007,0.7465344471431209,0.4739769399166107,0.5837011814117432,-1.0972445249557494,0.0,4.9116655187475544e-09,2.021109285124112e-05,0.7436779428292226
6,0.4314581314722697,0.5479183435440064,-1.1646173238754272,0.0,1.4555427273836112e-06,0.00014401353279633138,0.7475205145108319,0.3771295666694641,0.5012233078479766,-1.2409388780593873,0.0,3.049255914433502e-09,1.4099695181357675e-05,0.750718241723589
7,0.36239861845970156,0.4933881243069967,-1.3099088033040365,0.0,1.2007918614849918e-06,0.0001320066562887708,0.7482127802769667,0.31607759594917295,0.4549164891242981,-1.3883897542953492,0.0,2.1419316320603343e-09,1.0138673314941115e-05,0.7531692183690227
8,0.3148153314987818,0.46067978342374166,-1.4586519161860148,0.0,1.4497860686561263e-06,6.74063708477964e-05,0.7490868014243902,0.289792138338089,0.4435299813747406,-1.5373793601989747,0.0,2.2384363917993257e-09,9.274418516724836e-06,0.7487298077841581
9,0.2889828612407049,0.4498627702395121,-1.6088088432947794,0.0,9.85337854416309e-07,9.310616242146353e-05,0.7487459312372561,0.2614360243082047,0.43071420192718507,-1.6927826642990111,0.0,2.9506548759883343e-09,8.781112501310418e-06,0.7431378613480835
10,0.25945222526788714,0.43612462480862935,-1.766740616162618,0.0,5.1792169270944065e-06,0.00013998018148413393,0.7469280630055364,0.23135521411895751,0.4164803087711334,-1.851251745223999,0.0,3.88519185712255e-09,8.937948769016657e-06,0.753923223368139
11,0.23780913253625233,0.4305891533692678,-1.9278096596399943,0.0,1.6120788800903323e-06,8.690804315847345e-05,0.748052340325459,0.21483784914016724,0.4164433479309082,-2.0160558223724365,0.0,4.511162732256935e-09,8.850191170495236e-06,0.7452161175429868
12,0.2141008585691452,0.423639190196991,-2.0953983306884765,0.0,3.2581774994729546e-06,0.00013477877091645497,0.7486377636783236,0.1907819077372551,0.4093013644218445,-2.1851954460144043,0.0,5.510980383149899e-09,9.401693023392e-06,0.7505197160356347
13,0.1981068104505539,0.42455516854921976,-2.264495849609375,0.0,2.6878728773234902e-06,0.00010957003805742716,0.7478245365640296,0.17470967173576354,0.41047181487083434,-2.3576220512390136,0.0,3.0430243214141227e-09,6.823176590842195e-06,0.7483625866618202
14,0.17729358325401942,0.4215355455875397,-2.442434215545654,0.0,3.7503656199403917e-06,0.00012769059646113116,0.7470272193330684,0.14713988602161407,0.4008567690849304,-2.5371694564819336,0.0,3.207585752562636e-09,6.927437425474636e-06,0.7528501824479629
