figure_label,script,input_tables,seed,output_file,manual_processing,notes,output_sha256,input_table_sha256
Figure 1,figures.py,tables/performance_by_k.csv,20260825,performance_vs_k.png,none,K-response curves with fold-stratified patient-bootstrap intervals,19820f82529091063e9b2b571a15fe241132e8f39a8d8f810c8b1dd2ee8b2217,performance_by_k.csv:6d0a8d3a7283fdbc59e9e0130a5d3d71ddca24c375011b1c444ac06cadaa21ad
Figure 1,figures.py,tables/performance_by_k.csv,20260825,performance_vs_k.pdf,none,K-response curves with fold-stratified patient-bootstrap intervals,3771a70755f0caf92a5ebe2a490a60c7d432259158bc3a297acfad4ecd27d773,performance_by_k.csv:6d0a8d3a7283fdbc59e9e0130a5d3d71ddca24c375011b1c444ac06cadaa21ad
Figure 2,figures.py,tables/primary_paired_contrasts.csv,20260825,paired_effect_forest.png,none,Prespecified global paired effects; candidate minus reference,6684a9263635e1f9f676d43b04823d13a193ba4a52ca94e279d5a6e895e9313c,primary_paired_contrasts.csv:3371500f9b166f9d2a677c73e3b7e2bb6f18d3ecea98f377f599a9e97a68dd3e
Figure 2,figures.py,tables/primary_paired_contrasts.csv,20260825,paired_effect_forest.pdf,none,Prespecified global paired effects; candidate minus reference,d4d1d36f7b2413c815602565362a62d1fa798203c42fee7832674a838e77dfa0,primary_paired_contrasts.csv:3371500f9b166f9d2a677c73e3b7e2bb6f18d3ecea98f377f599a9e97a68dd3e
Figure 3,figures.py,tables/fold_level_performance.csv,20260825,fold_stability.png,none,Held-out fold means,644cdb06104e1888562e6c3075718600ef2490ce40fbc43ed9314fb0b9aad9b8,fold_level_performance.csv:4df27a7c17145d3f4c9d0f002346c95f3072a3ce2e10a28010b03a0f09bbdf1f
Figure 3,figures.py,tables/fold_level_performance.csv,20260825,fold_stability.pdf,none,Held-out fold means,013ed280448f6c1add83ab171a4091657a61f72cc080cbb59239759ecb03323c,fold_level_performance.csv:4df27a7c17145d3f4c9d0f002346c95f3072a3ce2e10a28010b03a0f09bbdf1f
Figure 4,figures.py,tables/uncertainty_summary.csv,20260825,calibration_coverage.png,none,Coverage and interval width; nominal target explicitly shown,8e029a54896aa859b385b9e7246f38ffa66c80e2100c15cfa95b60b75ae0b106,uncertainty_summary.csv:3603af08e4d22197e9fc4844821da8ad74c1931de7305cf698eb8bd4071e8b9a
Figure 4,figures.py,tables/uncertainty_summary.csv,20260825,calibration_coverage.pdf,none,Coverage and interval width; nominal target explicitly shown,baeee9715b8f677e7bff9a3090ea36eb1518dc58a38b7f92df4885ae2100035f,uncertainty_summary.csv:3603af08e4d22197e9fc4844821da8ad74c1931de7305cf698eb8bd4071e8b9a
Figure 5,figures.py,tables/trust_gate_rates.csv;tables/trust_gate_correlations.csv,20260825,trust_gate_behavior.png,none,Sampling-pattern rejection and patient-bootstrap rank correlations,4fd2136d044c9e73d64803b1226ace944bc1992c2aad2f7a941a41ea70f2553e,trust_gate_rates.csv:e7b841ec9ddfbfc7e86b8ff1a14ad17a5b484097633cdb7d443c49072c0aaa57;trust_gate_correlations.csv:1ca1bb80d0a8ced03436e283b2b9e4d7208213d5c1c486044795288cc46bb912
Figure 5,figures.py,tables/trust_gate_rates.csv;tables/trust_gate_correlations.csv,20260825,trust_gate_behavior.pdf,none,Sampling-pattern rejection and patient-bootstrap rank correlations,e941aebdc8de5cbdf8e90f3e2a2c5d196044d0375a589473f061207ad4f70c5a,trust_gate_rates.csv:e7b841ec9ddfbfc7e86b8ff1a14ad17a5b484097633cdb7d443c49072c0aaa57;trust_gate_correlations.csv:1ca1bb80d0a8ced03436e283b2b9e4d7208213d5c1c486044795288cc46bb912
Figure 6,figures.py,tables/oracle_upper_bound.csv,20260825,oracle_gap.png,none,Manual-contour oracle displayed separately from end-to-end learned models,a252307600c9274f437c23d9c91b7e0af3d4195244700ec8fe32178a980d75fb,oracle_upper_bound.csv:ed64d4b11531d51758bcc6350824f119e38e238829b0af9a7cc4af632b3855f3
Figure 6,figures.py,tables/oracle_upper_bound.csv,20260825,oracle_gap.pdf,none,Manual-contour oracle displayed separately from end-to-end learned models,de12b2f0d2dc4c9c26272a72e118da98ddf078eb8c586a1ea8954fe8e81d4785,oracle_upper_bound.csv:ed64d4b11531d51758bcc6350824f119e38e238829b0af9a7cc4af632b3855f3
