contrast,candidate_method,reference_method,left_out_fold,metric,mean_paired_difference,n_patients
source_prior_contribution,oa_hb_tpm_map,target_only,0,mean_hidden_dice,0.0013321302067531412,78
source_prior_contribution,oa_hb_tpm_map,target_only,0,mean_hidden_hd95_px,-0.05446850116476009,78
source_prior_contribution,oa_hb_tpm_map,target_only,0,area_curve_relative_rmse,-0.007723805456805331,78
source_prior_contribution,oa_hb_tpm_map,target_only,1,mean_hidden_dice,0.0011338783429329126,78
source_prior_contribution,oa_hb_tpm_map,target_only,1,mean_hidden_hd95_px,-0.03582959943756725,78
source_prior_contribution,oa_hb_tpm_map,target_only,1,area_curve_relative_rmse,-0.004839920955291472,78
source_prior_contribution,oa_hb_tpm_map,target_only,2,mean_hidden_dice,0.0007150498878666555,78
source_prior_contribution,oa_hb_tpm_map,target_only,2,mean_hidden_hd95_px,-0.014484436415273399,78
source_prior_contribution,oa_hb_tpm_map,target_only,2,area_curve_relative_rmse,-0.0016921469572224578,78
source_prior_contribution,oa_hb_tpm_map,target_only,3,mean_hidden_dice,0.001451454033905499,79
source_prior_contribution,oa_hb_tpm_map,target_only,3,mean_hidden_hd95_px,-0.04414959138384969,79
source_prior_contribution,oa_hb_tpm_map,target_only,3,area_curve_relative_rmse,-0.007546629012933473,79
source_prior_contribution,oa_hb_tpm_map,target_only,4,mean_hidden_dice,0.0015818161904985605,79
source_prior_contribution,oa_hb_tpm_map,target_only,4,mean_hidden_hd95_px,-0.0687753048882711,79
source_prior_contribution,oa_hb_tpm_map,target_only,4,area_curve_relative_rmse,-0.007418979008937047,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,0,mean_hidden_dice,-0.0048334920466656835,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,0,mean_hidden_hd95_px,0.438623885292569,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,0,area_curve_relative_rmse,0.0343733856982156,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,1,mean_hidden_dice,-0.003371790842065796,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,1,mean_hidden_hd95_px,0.3875643708772484,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,1,area_curve_relative_rmse,0.02756003735225412,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,2,mean_hidden_dice,-0.0045098220850638355,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,2,mean_hidden_hd95_px,0.33171912721881175,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,2,area_curve_relative_rmse,0.028783469232941422,78
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,3,mean_hidden_dice,-0.006360528239920719,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,3,mean_hidden_hd95_px,0.5809803722209693,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,3,area_curve_relative_rmse,0.0455917553870128,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,4,mean_hidden_dice,-0.00611788876146976,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,4,mean_hidden_hd95_px,0.5516477038049922,79
observation_likelihood_vs_latent_mse,oa_hb_tpm_map,hb_tpm_latent_mse,4,area_curve_relative_rmse,0.04562904757069742,79
target_specific_updating,oa_hb_tpm_map,source_mean,0,mean_hidden_dice,-0.0010333490162386055,78
target_specific_updating,oa_hb_tpm_map,source_mean,0,mean_hidden_hd95_px,0.09259037264887043,78
target_specific_updating,oa_hb_tpm_map,source_mean,0,area_curve_relative_rmse,0.00737602406873987,78
target_specific_updating,oa_hb_tpm_map,source_mean,1,mean_hidden_dice,-0.0009983965138993865,78
target_specific_updating,oa_hb_tpm_map,source_mean,1,mean_hidden_hd95_px,0.09114144479798898,78
target_specific_updating,oa_hb_tpm_map,source_mean,1,area_curve_relative_rmse,0.01031402017584603,78
target_specific_updating,oa_hb_tpm_map,source_mean,2,mean_hidden_dice,-0.0020785493581026594,78
target_specific_updating,oa_hb_tpm_map,source_mean,2,mean_hidden_hd95_px,0.11560129842359004,78
target_specific_updating,oa_hb_tpm_map,source_mean,2,area_curve_relative_rmse,0.011104241407101652,78
target_specific_updating,oa_hb_tpm_map,source_mean,3,mean_hidden_dice,-0.001317265404992082,79
target_specific_updating,oa_hb_tpm_map,source_mean,3,mean_hidden_hd95_px,0.10885795871507942,79
target_specific_updating,oa_hb_tpm_map,source_mean,3,area_curve_relative_rmse,0.010937337766905957,79
target_specific_updating,oa_hb_tpm_map,source_mean,4,mean_hidden_dice,-0.0012664499823930864,79
target_specific_updating,oa_hb_tpm_map,source_mean,4,mean_hidden_hd95_px,0.08863839775071639,79
target_specific_updating,oa_hb_tpm_map,source_mean,4,area_curve_relative_rmse,0.011755925160916333,79
