method_id,diagnostic,metric,value,improvement_oriented_value
hb_tpm_latent_mse,K10_minus_K2,mean_hidden_dice,0.004918377937640828,0.004918377937640828
hb_tpm_latent_mse,K10_minus_K2,mean_hidden_hd95_px,-0.29060426890083413,0.29060426890083413
hb_tpm_latent_mse,K10_minus_K2,area_curve_relative_rmse,-0.03672885635467793,0.03672885635467793
hb_tpm_latent_mse,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.028538487276539858,
hb_tpm_latent_mse,across_cell_area_rmse_range,area_curve_relative_rmse,0.052975073458804034,
oa_hb_tpm_isotropic_prior,K10_minus_K2,mean_hidden_dice,0.0002970048061119446,0.0002970048061119446
oa_hb_tpm_isotropic_prior,K10_minus_K2,mean_hidden_hd95_px,0.11683812329659382,-0.11683812329659382
oa_hb_tpm_isotropic_prior,K10_minus_K2,area_curve_relative_rmse,0.011341655182598442,-0.011341655182598442
oa_hb_tpm_isotropic_prior,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.03666020190229217,
oa_hb_tpm_isotropic_prior,across_cell_area_rmse_range,area_curve_relative_rmse,0.027379243208699444,
oa_hb_tpm_map,K10_minus_K2,mean_hidden_dice,0.0008159745785301098,0.0008159745785301098
oa_hb_tpm_map,K10_minus_K2,mean_hidden_hd95_px,0.10411467853925593,-0.10411467853925593
oa_hb_tpm_map,K10_minus_K2,area_curve_relative_rmse,0.008782960498213477,-0.008782960498213477
oa_hb_tpm_map,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.04082253724539356,
oa_hb_tpm_map,across_cell_area_rmse_range,area_curve_relative_rmse,0.02516174572356522,
oa_hb_tpm_no_phase_alignment,K10_minus_K2,mean_hidden_dice,0.0002783710810064788,0.0002783710810064788
oa_hb_tpm_no_phase_alignment,K10_minus_K2,mean_hidden_hd95_px,0.1128010205903287,-0.1128010205903287
oa_hb_tpm_no_phase_alignment,K10_minus_K2,area_curve_relative_rmse,0.0111452230889304,-0.0111452230889304
oa_hb_tpm_no_phase_alignment,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.0,
oa_hb_tpm_no_phase_alignment,across_cell_area_rmse_range,area_curve_relative_rmse,0.026350472575969897,
source_mean,K10_minus_K2,mean_hidden_dice,0.0025543466257182956,0.0025543466257182956
source_mean,K10_minus_K2,mean_hidden_hd95_px,-0.004544372326297008,0.004544372326297008
source_mean,K10_minus_K2,area_curve_relative_rmse,-0.0005850821491353297,0.0005850821491353297
source_mean,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.028882846582148708,
source_mean,across_cell_area_rmse_range,area_curve_relative_rmse,0.0007582137424116953,
target_only,K10_minus_K2,mean_hidden_dice,0.001149551445426722,0.001149551445426722
target_only,K10_minus_K2,mean_hidden_hd95_px,0.06702846883625924,-0.06702846883625924
target_only,K10_minus_K2,area_curve_relative_rmse,0.005328769656804844,-0.005328769656804844
target_only,mean_absolute_phase_offset_cycles,phase_offset_cycles,0.035070756063321364,
target_only,across_cell_area_rmse_range,area_curve_relative_rmse,0.00772453505471371,
