k,strategy,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse
2,clustered,0.935284377104192,2.296144802668781,0.11306445612615791
2,random,0.9241578561691293,2.693864139298556,0.13934697223123266
2,uniform,0.8749246458739887,4.415304610203167,0.25118494857488993
3,clustered,0.9369946990076627,2.3317872688382466,0.09184292385539226
3,random,0.9385699465206295,2.2219482602871996,0.09298069996444654
3,uniform,0.9221444719141155,2.76459889315598,0.09123681944685456
5,clustered,0.9306963578754174,2.4958459128434236,0.11494939309017475
5,random,0.9512271712007275,1.8525307766858121,0.06874031244439471
5,uniform,0.9431422173710396,2.0289009909348215,0.045357343082094735
7,clustered,0.9182684903568609,2.851625405463137,0.1305400228893574
7,random,0.9563273800741912,1.7049727932045586,0.059058560239084616
7,uniform,0.9618212428790675,1.4832902770381062,0.03027634104967025
10,clustered,0.9142830208362145,2.938758899576005,0.11773723903256002
10,random,0.9713828387754069,1.2685993740672081,0.02754512934920383
10,uniform,0.9839090438264005,1.0018939468192363,0.015757637683402343
