contrast,candidate_method,reference_method,scope,level,metric,n_paired_patients,candidate_mean,reference_mean,mean_paired_difference,relative_change_percent,bootstrap_95_lower,bootstrap_95_upper,interval_interpretation,difference_definition,bootstrap_unit
source_prior_contribution,oa_hb_tpm_map,target_only,global,all,mean_hidden_dice,98,0.7481259869029533,0.7468817243880119,0.001244262514941408,0.16659431799070265,0.0005060386150762408,0.001992893690866686,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,global,all,mean_hidden_hd95_px,98,9.864937743344635,9.908545153275426,-0.043607409930791846,-0.4400990181326139,-0.08083774911903203,-0.0032480798463145693,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,global,all,area_curve_relative_rmse,98,0.6010528949486855,0.6069055509602534,-0.005852656011568044,-0.9643437932488671,-0.0076322487235881515,-0.003997410507878211,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,global,all,hidden_brier,98,0.037699972993510474,0.037712356998477414,-1.2384004966943115e-05,-0.0328380561507813,-0.00012804754125904393,0.0001034842298911005,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,2,mean_hidden_dice,98,0.7478618646254748,0.7465195659852473,0.0013422986402275793,0.17980756317565905,0.00046697993943850845,0.0022376472293512595,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,2,mean_hidden_hd95_px,98,9.784786742788068,9.853183075092502,-0.06839633230443454,-0.6941546887252211,-0.10696932307720945,-0.030186257564394938,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,2,area_curve_relative_rmse,98,0.5943747742042348,0.6036347361240477,-0.00925996191981306,-1.534033972145388,-0.012191728905252601,-0.0063661152404976265,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,2,hidden_brier,98,0.03741960072395749,0.03765238050219351,-0.0002327797782360257,-0.6182338941955202,-0.0003989123958194601,-7.218285694996656e-05,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,3,mean_hidden_dice,98,0.7484233567341853,0.7464292861350982,0.0019940705990869603,0.26714795843715705,0.0010133380696597117,0.002980581816542974,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k,3,mean_hidden_hd95_px,98,9.856213337188247,9.931424548479024,-0.07521121129077725,-0.7573053686673347,-0.12191675836728834,-0.02783016477031067,beneficial,candidate_minus_reference,patient_stratified_within_fold
