method_id,k,strategy,n_patient_observations,n_patients,rejection_rate,trust_score_mean,trust_score_median,threshold_mean,trust_score_q05,trust_score_q25,trust_score_q75,trust_score_q95
hb_tpm_latent_mse,2,clustered,490,98,0.5897959183673469,0.00048535534914826003,0.00026346498634665,0.0004888243303235558,8.047580631682649e-05,0.000110142038465625,0.0006204177916515001,0.0014267000835388596
hb_tpm_latent_mse,2,random,490,98,0.5693877551020409,0.0004817479901248165,0.00023844608222129999,0.0004888243303235558,6.791197010898031e-05,0.0001168886810773,0.000708410152583375,0.0015727180871180748
hb_tpm_latent_mse,2,uniform,98,98,0.07142857142857142,0.0002720739109407579,8.899652675609104e-05,0.0004888243303235558,3.845032879326027e-05,6.020004457241157e-05,0.00039809454028719995,0.001105813524918569
hb_tpm_latent_mse,3,clustered,490,98,0.3816326530612245,0.0005036621370705106,0.00040631198498879996,0.0006557318382410102,0.00014896885113553,0.0002112252659571,0.000608987815212375,0.00154408861417317
hb_tpm_latent_mse,3,random,490,98,0.16938775510204082,0.0003957973032142758,0.00029709470982195005,0.0006557318382410102,8.948940812842922e-05,0.00016239760589079999,0.000488039229821825,0.0011549173155798547
hb_tpm_latent_mse,3,uniform,98,98,0.10204081632653061,0.0004517315560684051,0.00026885246916205,0.0006557318382410102,0.00012713998730755,0.00017533847130829999,0.00061323701811485,0.0012351334211416082
hb_tpm_latent_mse,5,clustered,490,98,0.0,0.00026646007514050015,0.00024281262449215001,0.0006360144919996724,0.000149357978079895,0.00020496349316085,0.000302846412523625,0.00048035994987001486
hb_tpm_latent_mse,5,random,490,98,0.0163265306122449,0.00032993943020055006,0.000291254138574,0.0006360144919996724,0.00016941589710765,0.00023458965733875,0.000370228714018575,0.0007000911980866699
hb_tpm_latent_mse,5,uniform,98,98,0.12244897959183673,0.0004464189055118704,0.00040607644768895,0.0006360144919996724,0.00028096385940439,0.00034362609585507505,0.00046961275802455003,0.0009208927629515447
hb_tpm_latent_mse,7,clustered,490,98,0.0,0.00022258866759195344,0.00020432026212795,0.0006002166424432,0.00012379017134659,0.0001702908157312,0.000248696043854525,0.00040693016198926495
hb_tpm_latent_mse,7,random,490,98,0.02040816326530612,0.00037413828883597655,0.00032919895602385,0.0006002166424432,0.00020710926546594501,0.00027717164630295,0.00041110668098552497,0.0007928340521174897
hb_tpm_latent_mse,7,uniform,98,98,0.11224489795918367,0.00046056987181994287,0.00041049548599395003,0.0006002166424432001,0.000319243549893085,0.000369253350072475,0.000479660360724575,0.0008790021296590347
hb_tpm_latent_mse,10,clustered,490,98,0.0020408163265306124,0.00019279639867702183,0.000190510370885,0.0004494732497639398,0.00011280583712499,0.0001525446568848,0.000220632948185,0.0002932432369561549
hb_tpm_latent_mse,10,random,490,98,0.11632653061224489,0.00034140767262321814,0.00033322680974374997,0.0004494732497639398,0.00022843080223534,0.00028806953923772496,0.00038322906766544997,0.00048218523152166983
hb_tpm_latent_mse,10,uniform,98,98,0.16326530612244897,0.00037084029018113676,0.0003691068704938,0.0004494732497639398,0.000263636132876785,0.000314003620587725,0.000408988795243175,0.0005194293014937149
oa_hb_tpm_isotropic_prior,2,clustered,490,98,0.9836734693877551,1.2918122378119288e-05,1.8907122466771398e-05,6.423920516523622e-06,4.072578320801768e-07,8.16993022567658e-07,2.183753031204105e-05,2.5353500132041507e-05
oa_hb_tpm_isotropic_prior,2,random,490,98,0.8612244897959184,1.397321724550345e-05,1.4276506590249483e-05,6.423920516523622e-06,3.248054042614968e-07,7.160350889989786e-07,2.392103215242969e-05,3.53991557858535e-05
oa_hb_tpm_isotropic_prior,2,uniform,98,98,0.05102040816326531,6.020725842453041e-06,5.2825100738118635e-06,6.423920516523622e-06,3.360335256274993e-07,4.923221155195279e-07,1.0664022966011544e-05,1.4071720443098457e-05
oa_hb_tpm_isotropic_prior,3,clustered,490,98,0.8653061224489796,2.1109902773295458e-05,1.9412389519857243e-05,1.689050651567432e-05,6.958191022476967e-07,1.2100734920750254e-06,3.018348616024014e-05,6.143891623651143e-05
oa_hb_tpm_isotropic_prior,3,random,490,98,0.5326530612244897,1.919677916536144e-05,1.4440486211242387e-05,1.689050651567432e-05,6.458240420670337e-07,1.0659870213203249e-06,2.9485528102668468e-05,6.291922109085133e-05
oa_hb_tpm_isotropic_prior,3,uniform,98,98,0.05102040816326531,1.6454267896575883e-05,1.2782213616446825e-05,1.689050651567432e-05,7.315422806186689e-07,9.926029633788858e-07,2.197251251345734e-05,4.7999111666285904e-05
oa_hb_tpm_isotropic_prior,5,clustered,490,98,0.9163265306122449,7.207264183565167e-05,9.185571980196984e-05,4.2041864278453946e-05,1.4212163659976796e-05,2.295955164299812e-05,0.00011140212700405,0.00011863756008093
oa_hb_tpm_isotropic_prior,5,random,490,98,0.5224489795918368,4.793855255901778e-05,3.6511399230221286e-05,4.2041864278453946e-05,9.731771683618718e-07,2.694935233193973e-06,7.641922638867982e-05,0.00013797819337920485
oa_hb_tpm_isotropic_prior,5,uniform,98,98,0.05102040816326531,4.1577402130911434e-05,2.2847876607556827e-05,4.2041864278453946e-05,1.115983678801058e-06,1.501638450918108e-06,7.818623635102995e-05,0.00011014770170730499
oa_hb_tpm_isotropic_prior,7,clustered,490,98,1.0,8.962956599132155e-05,9.81569646683056e-05,2.964275533569741e-05,4.46562940851436e-05,6.912659046065528e-05,0.00010669651237545,0.00011542303400339
oa_hb_tpm_isotropic_prior,7,random,490,98,0.9408163265306122,9.111126519721396e-05,7.630409163539298e-05,2.964275533569741e-05,4.12990848417394e-06,3.880656913679559e-05,0.00012340729517737502,0.00024489195784547477
oa_hb_tpm_isotropic_prior,7,uniform,98,98,0.061224489795918366,2.934399425060162e-05,1.6813048205222003e-05,2.964275533569741e-05,8.055140682472483e-07,1.4418378100344855e-06,5.4480191465700045e-05,7.706149044679478e-05
