record_id,role,seed,truth_log_d_start,truth_log_d_end,truth_d_start_um2_s,truth_d_end_um2_s
source_000,source,320217574,4.00649445670737,4.957150392098477,54.9538892710144,142.18803788967656
source_001,source,415327883,3.8851998067587736,4.3070074231599085,48.67666741504624,74.2180530514246
source_002,source,719481208,3.580725715956809,4.472088534479725,35.899584297013305,87.5393611981748
source_003,source,1335541514,3.6369790688071095,4.657357403480811,37.97693754627894,105.35729713405367
source_004,source,1873425117,4.109907009811901,4.9684402230185825,60.94105038639171,143.8024126580487
source_005,source,613802191,3.841151224052736,4.519394264128548,46.579066527360496,91.77998670675649
source_006,source,1882422455,3.8060983289737944,4.696427994754593,44.974619924051446,109.55514116115515
source_007,source,1636892557,3.9710817163435275,4.793270689837216,53.04187608269118,120.69548128584822
source_008,source,263541603,3.30716777497263,4.327107124530617,27.307674365417935,75.72490667787874
source_009,source,648992267,4.140247005606957,4.853829375951024,62.81833601424575,128.23049361977047
source_010,source,935227438,3.9794300223318495,4.655088172039062,53.48653940462544,105.11848810173893
source_011,source,1309722267,3.8113983907090088,4.717135633983041,45.2136209868862,111.84742144506909
source_012,source,2083600896,3.733458153782141,4.505810740454097,41.82349043372214,90.54172013566645
source_013,source,1462398357,3.5870225677498273,4.586297294602724,36.1263518703792,98.13040865188435
source_014,source,1121138649,3.970800585927262,4.830699560448514,53.02696649385621,125.29858393587722
source_015,source,192812622,3.8722219240419546,4.228840175587429,48.04902885327677,68.63757845150192
source_016,source,596945033,3.8186273371315305,4.469294244030142,45.54165206159029,87.29509223536999
source_017,source,939863366,3.852358475512644,4.4955691670818005,47.104026020550386,89.61916274911819
source_018,source,1474046966,3.395654371901088,4.439042969714159,29.834169731161182,84.69384829776371
source_019,source,1721342167,3.9207752950745167,4.7480618263323695,50.439535145982184,115.36047906751021
source_020,source,1406355196,3.901463742403889,4.614538011898834,49.47481451438018,100.94118413274484
source_021,source,584534550,3.741928911572484,4.565171934524757,42.179271832777225,96.07911191293539
source_022,source,295202533,3.854497000291553,4.621495144420504,47.20486693434693,101.64589386472159
source_023,source,1094653178,4.1080973984951115,4.9522372403513195,60.83087049341316,141.49115981858154
source_024,source,520635413,3.7691470962364773,4.290011486642072,43.343081589108365,72.96730664415345
source_025,source,1096560989,3.710554167124069,4.243770806434475,40.87645263774608,69.67006948836648
source_026,source,1429886664,3.83780119314842,4.363778529223342,46.42328629498566,78.55339064635778
source_027,source,433030321,3.6669552835549277,4.844282925151461,39.13257669095808,127.01217209726408
source_028,source,313822169,3.9533239847403463,4.663064428552793,52.10828643351448,105.96029288962475
source_029,source,1085993567,4.104280719561662,4.867282070857776,60.599141091162316,129.96719479214187
source_030,source,1383672457,4.013176882415679,4.764568377444503,55.322344268919366,117.28048545883135
source_031,source,689014186,3.945225402920901,4.651476941978205,51.68798742250394,104.73956565740829
source_032,source,1252912570,3.5396236954319167,4.357909843091022,34.45395157175828,78.09373555701492
source_033,source,474562667,3.7805932036600502,4.2578237691336716,43.84204128265125,70.6560521384309
source_034,source,701850763,3.5796977954921756,4.620680350138634,35.86270133926371,101.56310710329501
source_035,source,1419214334,3.6890319947792474,4.252235012891884,40.0061020920092,70.26227407576953
source_036,source,929148571,3.57208580824264,4.504126740044461,35.590751267293086,90.38937615153685
source_037,source,486550457,4.042281075913948,4.752958407099394,56.956115962260654,115.92673620107655
source_038,source,202843183,3.889855341556018,4.603906791315699,48.90381166272511,99.87374030746645
source_039,source,29659893,4.17808374934681,4.756159158537618,65.24071579071905,116.29838332644852
target_000,target,746972847,3.738955537329095,4.838161569609258,42.0540433401536,126.23706022170639
target_001,target,201108452,4.357741251426464,5.238641878547503,78.08057071391843,188.41403941382404
target_002,target,306353293,3.903448101081908,4.494247555178565,49.573087764345985,89.50079922941761
target_003,target,1135358713,3.8673334223905593,4.287587260937534,47.81471428657921,72.79063166033899
target_004,target,1810383730,3.917293625049362,4.987765214799513,50.26422668857344,146.60841879758846
target_005,target,800074889,3.408091527758957,3.863264803253233,30.207538962855782,47.620569643109945
target_006,target,434632259,3.760545726275902,4.666025124407321,42.97187045988111,106.27447395731814
target_007,target,1257882643,3.5675723061983575,4.210379869615375,35.43047431595711,67.38213137340814
target_008,target,2142561698,3.7842788764650073,4.316667684973856,44.003926847275146,74.93849309227791
target_009,target,219472577,3.9279830682785324,4.567281649930061,50.80440524665493,96.28202546512729
target_010,target,1327325578,3.8504316752806766,4.6500135112994085,47.013353354396784,104.58639866571427
target_011,target,538075384,3.7423328473418915,4.644285148689263,42.19631299093301,103.98900253448429
target_012,target,299790217,3.6928870099959425,4.460124755369346,40.16062387488256,86.4982995505401
target_013,target,181699541,3.8343556307249584,4.510099534890975,46.26360721424873,90.9308688542273
target_014,target,534902746,3.8081481799371812,4.567957089203456,45.06690574580647,96.34708009420088
target_015,target,2134914052,3.7660438303765824,4.621737058532188,43.20878497058185,101.67048641536479
target_016,target,915377034,3.578061149765282,4.374938685271621,35.80405480725087,79.43496886940054
target_017,target,62867594,4.014948517398283,4.809058355260366,55.42044214049812,122.61610233091267
target_018,target,1338211417,3.792548073782156,4.532688219712993,44.36931264264781,93.00825193613308
target_019,target,1124478805,3.488888292779348,4.285370514707994,32.74951958388605,72.62945201524794
target_020,target,250326463,3.7962924470519055,4.626351554782848,44.5357593357085,102.1407286247594
target_021,target,1970919730,3.7361851624993996,4.518958536398434,41.93769910997215,91.74000433282598
target_022,target,1395925032,3.713736422076547,4.866193025571797,41.00673912405226,129.82573167517344
target_023,target,1422758397,3.798643458248991,4.738921205931149,44.640586581307645,114.31081730724345
target_024,target,1399343056,3.6519909332690874,4.491899203738425,38.55134284555103,89.29086649305273
target_025,target,1145186337,3.9771722077238416,4.492318901777344,53.365912941964034,89.32834955984785
target_026,target,836404456,3.6307595810230793,4.361481318278133,37.741473439222304,78.37314404907583
target_027,target,1416054233,3.4522301694834865,4.119971904676834,31.57072191671589,61.557512761918844
target_028,target,2008794004,3.7555322312503763,4.296291577707716,42.75697035153342,73.42698989020968
target_029,target,592996612,3.759235580365591,4.360976070224116,42.91560790366645,78.33355617224888
target_030,target,599615863,3.5573916884417973,4.660700131309919,35.071600080341135,105.71006718182863
target_031,target,1257469660,3.653757134236018,4.471313337105572,38.61949242977623,87.4715272110003
target_032,target,1349715332,3.5879833930617973,4.374310169848004,36.16107966468561,79.38505845266792
target_033,target,1635084678,3.855820791544392,4.824750939393703,47.2673977039973,124.55544266564581
target_034,target,1489802579,3.864494063431924,4.4231292620938145,47.679143707065116,83.35672269006447
target_035,target,1289564112,3.7578986847528517,4.603017024713566,42.85827254997297,99.78491551143935
target_036,target,852373774,3.799954912435225,4.273754757730808,44.69916907118505,71.79068682843956
target_037,target,48326165,3.908304967857926,4.772513058474568,49.81444328865933,118.21595258040792
target_038,target,1443773056,3.446026238188897,4.262262538680536,31.375465631576922,70.97037515860605
target_039,target,1608226857,3.87167169012728,4.989432929828437,48.02259792029922,146.8531238534177
target_040,target,886178499,3.994926674321342,4.739448086163722,54.32185729072255,114.37106128653915
target_041,target,1371499097,3.6957921841170513,4.599094281398618,40.27746712286149,99.39425163918929
target_042,target,446690999,3.642649567552188,4.5418990227162785,38.19289744446863,93.86889012216719
target_043,target,262082880,3.8107517061408185,4.526598725488654,45.18439148807354,92.44359969130957
target_044,target,394335233,4.009752973737271,4.777987083054623,55.133249520574246,118.86484401408433
target_045,target,1403402409,3.528538356020564,4.585932089278415,34.07412695645816,98.09457744743962
target_046,target,1084419632,3.649368508090268,4.3139657125435305,38.4503772785807,74.73628465380655
target_047,target,1750622705,3.564383268507864,4.579750409775076,35.317665169886155,97.4900586045611
target_048,target,1277239786,3.8188170281014493,4.563442141142874,45.550291721148355,95.91305856141065
target_049,target,864909348,3.76509678633647,4.519717970280055,43.167883718995235,91.80970126217149
target_050,target,1678122114,3.693923128139287,4.289216477755732,40.20225659040878,72.90932003994598
target_051,target,1616459671,3.943620950525262,4.722307611301727,51.605123001044184,112.42739227711131
target_052,target,272617900,3.7342590375685365,4.36728749679471,41.85699960578617,78.8295161211008
target_053,target,166597177,3.7890713239072653,4.4716936037631605,44.21531949341936,87.50479604139954
target_054,target,549585765,3.4596024633876317,4.238687869461847,31.80433061537877,69.31683939992804
target_055,target,1039605638,3.866319269108469,4.325722924499295,47.76624741772438,75.62016077105163
target_056,target,324250868,3.475447597284045,4.356280617404284,32.31228819275421,77.96660682588987
target_057,target,280441842,3.9848270096497553,4.541748095021996,53.77598594655873,93.85472377609003
target_058,target,913185463,3.7646694396792117,4.681568096635936,43.14944000939653,107.93919902831256
target_059,target,233479133,3.8532547840128997,4.794454568784251,47.146264686078574,120.83845474007701
target_060,target,652952849,3.7239785691893905,4.339058943953659,41.42889437648922,76.63538719952932
target_061,target,698172752,4.0634974213187744,5.080989416439256,58.17742665379723,160.9332071429795
target_062,target,2066119640,3.9897411460078214,4.6959506812826675,54.04089885024632,109.50286149424741
target_063,target,1373870846,3.8565051620948663,4.676334669638641,47.29975719066032,107.37578269511472
target_064,target,1637911595,3.7087443436845975,4.513305479033183,40.80254037988294,91.22285593762736
target_065,target,1339222246,3.647280445339779,4.489762978824115,38.37017424167045,89.10032471194069
target_066,target,1470487191,3.7819933156803605,4.586068456069546,43.9034680437847,98.10795520231352
target_067,target,1346079387,3.704026526758876,4.520658496108619,40.6104948383286,91.8960912771732
target_068,target,1595852149,3.6942906589175406,4.56944782883337,40.21703487263144,96.4908156142231
target_069,target,114696189,3.773211080778427,4.847895620146973,43.51958561457464,127.47185818862141
target_070,target,389303846,3.9808054108489963,4.599546424754689,53.56015479001755,99.43920225099407
target_071,target,1864375322,4.138256860226647,4.861442988299838,62.69344271216419,129.21051691412922
target_072,target,539351732,3.8130037583341556,4.518719635271385,45.28626376381407,91.71809016015989
target_073,target,373358568,3.5849739545708172,4.144472875685489,36.05241870591252,63.08435983595851
target_074,target,1340575815,3.945967058902721,4.633683577060203,51.726336346660744,102.8923789134928
target_075,target,1686549355,3.6247151853107,4.378903908042389,37.51403708908039,79.75057152064831
target_076,target,1992104019,3.574319011013464,4.521007749926733,35.6703214467422,91.92819194323529
target_077,target,1645857430,3.8533419542989638,4.511301298585507,47.150374618587506,91.04021196025629
target_078,target,1838503160,3.762089742626238,4.447178983175667,43.0382709790278,85.38572934782152
target_079,target,2060766763,3.809299754508308,4.515025097586642,45.11883354208902,91.37985940754777
target_080,target,1912583487,4.1549286607059175,5.110458312913573,63.74741668988812,165.74630113901216
target_081,target,669751107,3.74214688186436,4.250799245878189,42.18846666303326,70.16146620596875
target_082,target,2021530116,3.9788184794790697,4.538516288701315,53.453840093266784,93.55189309519703
target_083,target,144857066,3.6859995919938915,4.309858130476043,39.88497122819978,74.42992885271134
target_084,target,687027744,3.748783542448368,4.786762736143969,42.46938835669622,119.91255108272429
target_085,target,1980490253,3.9526514532689676,4.700282550486597,52.07325375257899,109.97824246841725
target_086,target,538997068,3.935333871875703,4.546596321054165,51.179234411479186,94.31085751741988
target_087,target,1268596719,3.8257813119552666,4.845445078267647,45.86862407412624,127.15986549340789
target_088,target,1422284172,3.944280030770032,4.953377134606126,51.6391461288972,141.6525367376022
target_089,target,992753235,4.078664990160426,4.584737392481881,59.06656274826436,97.97745414735243
target_090,target,1931971723,4.265940780892437,4.713748222633473,71.23190207311718,111.46918919602328
