record_id,seed,n_photons,success,estimate_log_d_start,estimate_log_d_end,truth_log_d_start_evaluation_only,truth_log_d_end_evaluation_only,simulation_truth_used_by_estimator
source_000,320217574,1554,True,3.8944677179764344,4.21204980529241,4.00649445670737,4.957150392098477,False
source_001,415327883,1287,True,4.574089863424696,4.310329234801198,3.8851998067587736,4.3070074231599085,False
source_002,719481208,825,True,3.7748427313664465,3.3370002041023765,3.580725715956809,4.472088534479725,False
source_003,1335541514,1295,True,4.006895244611751,4.452441384512678,3.6369790688071095,4.657357403480811,False
source_004,1873425117,873,True,4.671647981677696,4.473151854393798,4.109907009811901,4.9684402230185825,False
source_005,613802191,1005,True,5.199945016139826,3.924603115168719,3.841151224052736,4.519394264128548,False
source_006,1882422455,1006,True,3.986273706875385,4.659158537103119,3.8060983289737944,4.696427994754593,False
source_007,1636892557,1074,True,4.5204229624658225,4.415553783460524,3.9710817163435275,4.793270689837216,False
source_008,263541603,992,True,4.02356748285286,4.350690261095293,3.30716777497263,4.327107124530617,False
source_009,648992267,940,True,4.666830129612694,5.25213628769685,4.140247005606957,4.853829375951024,False
source_010,935227438,1113,True,3.7477952433089765,4.314170958754774,3.9794300223318495,4.655088172039062,False
source_011,1309722267,1161,True,4.073027401939079,4.230214524528048,3.8113983907090088,4.717135633983041,False
source_012,2083600896,1389,True,3.5487076827614046,4.566579532459927,3.733458153782141,4.505810740454097,False
source_013,1462398357,998,True,3.9878018389556806,4.82637401760669,3.5870225677498273,4.586297294602724,False
source_014,1121138649,1028,True,4.241554817221739,4.309976919071507,3.970800585927262,4.830699560448514,False
source_015,192812622,1392,True,5.162728127487692,4.216756167973021,3.8722219240419546,4.228840175587429,False
source_016,596945033,1033,True,3.7260558736318643,4.032270119902137,3.8186273371315305,4.469294244030142,False
source_017,939863366,1083,True,3.7089985261037293,4.915541616771763,3.852358475512644,4.4955691670818005,False
source_018,1474046966,1085,True,4.145591450144415,5.115161623805113,3.395654371901088,4.439042969714159,False
source_019,1721342167,1102,True,3.7729757593911404,4.380591215449953,3.9207752950745167,4.7480618263323695,False
source_020,1406355196,848,True,4.850063839134116,4.698503523215559,3.901463742403889,4.614538011898834,False
source_021,584534550,949,True,4.714462137738132,4.944059019843547,3.741928911572484,4.565171934524757,False
source_022,295202533,1258,True,3.6496163389974203,4.580597210192677,3.854497000291553,4.621495144420504,False
source_023,1094653178,1383,True,3.8821773346507937,4.713210269710417,4.1080973984951115,4.9522372403513195,False
source_024,520635413,913,True,4.511748684193056,3.807102812912866,3.7691470962364773,4.290011486642072,False
source_025,1096560989,1359,True,3.317831776597314,4.149952500351425,3.710554167124069,4.243770806434475,False
source_026,1429886664,1280,True,3.985099456045123,4.146548275373479,3.83780119314842,4.363778529223342,False
source_027,433030321,1075,True,3.90860906634498,5.141539644937061,3.6669552835549277,4.844282925151461,False
source_028,313822169,1064,True,3.554460466648418,4.657610341447191,3.9533239847403463,4.663064428552793,False
source_029,1085993567,868,True,4.07993356345962,5.299421021849997,4.104280719561662,4.867282070857776,False
source_030,1383672457,1166,False,3.8339801222864036,5.393627546352362,4.013176882415679,4.764568377444503,False
source_031,689014186,867,True,4.827538499810981,3.81995673553367,3.945225402920901,4.651476941978205,False
source_032,1252912570,1191,True,3.2155020518255704,5.303173458408,3.5396236954319167,4.357909843091022,False
source_033,474562667,732,True,4.415381893204808,4.380608763430487,3.7805932036600502,4.2578237691336716,False
source_034,701850763,1355,True,3.8307061024707005,4.144744271458057,3.5796977954921756,4.620680350138634,False
source_035,1419214334,685,True,4.841594289972447,4.962797677926538,3.6890319947792474,4.252235012891884,False
source_036,929148571,1011,True,3.4352950755252443,5.047505014350446,3.57208580824264,4.504126740044461,False
source_037,486550457,1345,True,4.287895141828336,4.445213225380548,4.042281075913948,4.752958407099394,False
source_038,202843183,1118,True,3.9610242116654897,4.602313074161823,3.889855341556018,4.603906791315699,False
source_039,29659893,1255,True,5.187739703419338,3.774179429794601,4.17808374934681,4.756159158537618,False
